# Phase 70 — Firme HUB curate manualmente (prima passata).
#
# Ognuna è un'ANCORA fissa nello spazio 8D: la propagazione la usa come punto
# di riferimento, ma non la modifica. Gli hub stabilizzano la geometria del
# lessico molto più delle 64 ancore frattali (che sono sparse, 6 dim a 0.50).
#
# CONVENZIONE: valori in [0.00, 1.00], 0.50 = neutro.
# Gli assi vanno letti in senso "Yang content" (cfr. trigrammi I Ching):
#   agency      0=paziente / subisce        1=agente / inizia
#   permanenza  0=stabile / fisso (Yin)     1=mutevole / fluido (Yang)
#   intensita   0=quieto                    1=intenso / scuotente
#   tempo       0=passato / conservativo    1=futuro / proiettivo
#   confine     0=sfumato                   1=netto
#   complessita 0=semplice                  1=complesso / intricato
#   definizione 0=vago                      1=preciso
#   valenza     0=respinge                  1=attrae
#
# Esclusi dai top 80:
#   - ipernimi astratti (azione, qualita, oggetto, persona, concetto, stato,
#     evento, entita, luogo, strumentare, processare): hanno grado alto ma
#     niente identità semantica concreta. Riceveranno firma da propagazione
#     dai loro IS_A children, non come ancore.
#   - verbi sospetti (animalire, spaziare, silenziare, lucere, freddare):
#     probabili artefatti di lemmatizzazione. Da verificare separatamente.
#
# Format: word \t agency \t permanenza \t intensita \t tempo \t confine \t complessita \t definizione \t valenza
#
word	agency	permanenza	intensita	tempo	confine	complessita	definizione	valenza
emozione	0.50	0.75	0.80	0.55	0.30	0.65	0.40	0.50
tempo	0.55	0.85	0.40	0.50	0.30	0.65	0.55	0.50
relazione	0.50	0.55	0.50	0.50	0.30	0.85	0.55	0.55
strutturare	0.85	0.30	0.50	0.65	0.85	0.85	0.85	0.55
movimentare	0.85	0.85	0.75	0.65	0.50	0.50	0.50	0.55
vita	0.85	0.70	0.85	0.65	0.30	0.95	0.45	0.85
sostanza	0.30	0.20	0.30	0.40	0.85	0.50	0.85	0.50
parte	0.30	0.40	0.30	0.50	0.85	0.40	0.85	0.50
calmare	0.85	0.40	0.10	0.55	0.40	0.30	0.55	0.85
presenza	0.55	0.25	0.50	0.45	0.40	0.40	0.50	0.65
sistemare	0.85	0.30	0.40	0.65	0.85	0.55	0.85	0.65
energia	0.85	0.85	0.95	0.55	0.30	0.50	0.40	0.55
intelligenza	0.95	0.30	0.55	0.55	0.65	0.95	0.65	0.85
finire	0.85	0.85	0.50	0.20	0.85	0.25	0.85	0.40
coscienza	0.85	0.30	0.55	0.55	0.40	0.95	0.65	0.75
qualità	0.30	0.30	0.40	0.50	0.55	0.55	0.65	0.55
curare	0.85	0.40	0.50	0.65	0.55	0.55	0.65	0.95
ordine	0.30	0.20	0.20	0.45	0.85	0.30	0.95	0.65
regolare	0.85	0.30	0.30	0.55	0.85	0.55	0.95	0.55
corpo	0.55	0.25	0.55	0.55	0.85	0.85	0.85	0.65
cambiamento	0.55	0.95	0.65	0.85	0.30	0.65	0.40	0.55
accordare	0.85	0.40	0.30	0.55	0.55	0.55	0.65	0.85
forzare	0.95	0.55	0.85	0.65	0.65	0.30	0.65	0.20
comunicazione	0.75	0.55	0.55	0.55	0.40	0.85	0.55	0.65
fermare	0.85	0.30	0.50	0.40	0.85	0.30	0.85	0.40
iniziare	0.85	0.85	0.65	0.85	0.85	0.30	0.85	0.65
connessione	0.40	0.30	0.50	0.45	0.65	0.85	0.55	0.85
formare	0.85	0.40	0.55	0.65	0.65	0.55	0.65	0.55
artificiale	0.55	0.40	0.40	0.55	0.85	0.65	0.85	0.40
libertà	0.85	0.30	0.65	0.65	0.20	0.75	0.50	0.95
verità	0.30	0.10	0.55	0.50	0.85	0.55	0.95	0.85
unire	0.85	0.40	0.50	0.55	0.30	0.55	0.55	0.85
liberare	0.95	0.85	0.65	0.65	0.30	0.40	0.55	0.95
vuoto	0.10	0.20	0.10	0.50	0.40	0.10	0.40	0.30
memoria	0.40	0.20	0.40	0.10	0.45	0.85	0.45	0.55
comprensione	0.85	0.30	0.40	0.55	0.55	0.85	0.85	0.85
conoscenza	0.40	0.20	0.30	0.30	0.65	0.85	0.85	0.85
abbandonare	0.85	0.85	0.55	0.40	0.85	0.30	0.85	0.20
resistenza	0.85	0.20	0.65	0.50	0.85	0.40	0.65	0.45
percezione	0.55	0.55	0.50	0.55	0.40	0.75	0.55	0.55
paura	0.30	0.65	0.85	0.65	0.40	0.55	0.55	0.10
gioia	0.55	0.85	0.85	0.55	0.30	0.40	0.50	0.95
dolore	0.30	0.55	0.95	0.55	0.65	0.55	0.65	0.05
passare	0.55	0.85	0.40	0.40	0.40	0.40	0.50	0.55
equilibrio	0.30	0.20	0.20	0.50	0.65	0.65	0.55	0.85
disprezzare	0.85	0.40	0.55	0.45	0.65	0.30	0.65	0.10
apertura	0.40	0.45	0.30	0.65	0.20	0.30	0.30	0.85
caos	0.55	0.95	0.85	0.55	0.10	0.95	0.05	0.20
crescita	0.65	0.65	0.55	0.85	0.40	0.55	0.45	0.85
domandare	0.85	0.55	0.50	0.65	0.65	0.55	0.65	0.65
misurare	0.85	0.40	0.30	0.50	0.95	0.55	0.95	0.50
attenzione	0.75	0.45	0.55	0.55	0.65	0.55	0.65	0.65
ostacolare	0.85	0.40	0.50	0.55	0.65	0.40	0.65	0.20
riposare	0.20	0.30	0.05	0.50	0.40	0.20	0.45	0.75
separazione	0.40	0.55	0.50	0.50	0.95	0.30	0.85	0.30
bloccare	0.85	0.30	0.40	0.45	0.95	0.30	0.85	0.30
identità	0.65	0.10	0.40	0.30	0.85	0.85	0.85	0.65
conflitto	0.65	0.65	0.95	0.55	0.65	0.85	0.55	0.15
confine	0.40	0.20	0.30	0.45	0.95	0.30	0.95	0.50
consapevolezza	0.85	0.30	0.45	0.55	0.55	0.85	0.75	0.85
amore	0.55	0.30	0.85	0.55	0.30	0.85	0.40	0.95
ascoltare	0.65	0.55	0.30	0.50	0.45	0.45	0.55	0.75
fiducia	0.55	0.20	0.40	0.65	0.45	0.50	0.55	0.85
controllare	0.95	0.30	0.55	0.65	0.85	0.55	0.85	0.55
# === Espansione Phase 70 — corpo / natura / famiglia / sensi / vita / emozioni / tempo / astratti / verbi base ===
mano	0.55	0.25	0.40	0.50	0.85	0.65	0.85	0.65
occhio	0.55	0.25	0.50	0.50	0.85	0.85	0.95	0.70
piede	0.55	0.25	0.40	0.50	0.85	0.55	0.85	0.55
testa	0.50	0.25	0.50	0.50	0.85	0.85	0.85	0.55
cuore	0.55	0.30	0.85	0.50	0.55	0.65	0.55	0.85
voce	0.65	0.85	0.65	0.55	0.30	0.55	0.50	0.65
pelle	0.30	0.30	0.40	0.45	0.85	0.55	0.65	0.55
sangue	0.45	0.85	0.65	0.55	0.30	0.55	0.55	0.40
osso	0.20	0.10	0.20	0.40	0.85	0.40	0.85	0.45
viso	0.55	0.30	0.50	0.50	0.85	0.85	0.85	0.65
lingua	0.55	0.45	0.50	0.55	0.65	0.65	0.65	0.55
orecchio	0.45	0.25	0.40	0.50	0.85	0.55	0.85	0.55
mente	0.85	0.30	0.55	0.55	0.40	0.95	0.65	0.65
respiro	0.45	0.85	0.40	0.55	0.30	0.30	0.45	0.65
acqua	0.40	0.85	0.40	0.55	0.20	0.30	0.40	0.65
fuoco	0.85	0.85	0.95	0.55	0.40	0.55	0.65	0.40
terra	0.20	0.10	0.30	0.30	0.55	0.55	0.55	0.65
aria	0.40	0.85	0.30	0.55	0.10	0.20	0.30	0.65
sole	0.85	0.20	0.85	0.50	0.85	0.45	0.85	0.85
luna	0.30	0.20	0.30	0.50	0.85	0.55	0.65	0.65
stella	0.40	0.20	0.65	0.50	0.85	0.40	0.85	0.85
cielo	0.55	0.20	0.30	0.50	0.10	0.65	0.30	0.75
mare	0.55	0.85	0.65	0.55	0.10	0.85	0.30	0.65
monte	0.20	0.10	0.20	0.20	0.95	0.55	0.85	0.55
fiume	0.65	0.85	0.55	0.55	0.30	0.55	0.45	0.65
albero	0.40	0.30	0.30	0.45	0.85	0.85	0.85	0.75
fiore	0.30	0.85	0.40	0.55	0.85	0.65	0.85	0.85
vento	0.85	0.95	0.65	0.55	0.10	0.30	0.20	0.55
madre	0.65	0.20	0.65	0.40	0.85	0.85	0.85	0.95
padre	0.85	0.20	0.55	0.40	0.85	0.85	0.85	0.85
figlio	0.40	0.55	0.55	0.65	0.85	0.65	0.85	0.85
donna	0.65	0.30	0.65	0.50	0.85	0.85	0.85	0.85
uomo	0.85	0.30	0.55	0.50	0.85	0.85	0.85	0.75
amico	0.65	0.30	0.50	0.50	0.65	0.65	0.85	0.95
nemico	0.85	0.40	0.65	0.50	0.85	0.55	0.85	0.05
famiglia	0.55	0.25	0.55	0.45	0.85	0.95	0.65	0.85
casa	0.30	0.20	0.30	0.40	0.95	0.85	0.85	0.85
mondo	0.55	0.30	0.50	0.50	0.10	0.95	0.40	0.65
luce	0.85	0.85	0.65	0.55	0.30	0.40	0.85	0.85
buio	0.10	0.30	0.20	0.50	0.30	0.40	0.20	0.20
suono	0.65	0.85	0.65	0.55	0.30	0.55	0.55	0.55
silenzio	0.10	0.20	0.05	0.50	0.40	0.30	0.30	0.65
colore	0.20	0.55	0.55	0.50	0.55	0.55	0.65	0.75
forma	0.20	0.20	0.30	0.50	0.85	0.55	0.85	0.55
odore	0.30	0.85	0.55	0.50	0.30	0.40	0.40	0.50
nascere	0.85	0.95	0.85	0.85	0.85	0.55	0.85	0.95
morire	0.55	0.95	0.85	0.40	0.85	0.45	0.85	0.05
vivere	0.85	0.40	0.85	0.65	0.30	0.95	0.45	0.85
crescere	0.65	0.85	0.65	0.85	0.40	0.65	0.55	0.85
svegliare	0.85	0.85	0.85	0.65	0.85	0.55	0.85	0.85
fame	0.40	0.55	0.85	0.55	0.55	0.30	0.65	0.10
sete	0.40	0.55	0.85	0.55	0.55	0.30	0.65	0.15
sogno	0.40	0.85	0.55	0.65	0.20	0.85	0.20	0.75
notte	0.20	0.55	0.30	0.50	0.65	0.55	0.55	0.45
rabbia	0.85	0.85	0.95	0.55	0.65	0.40	0.55	0.10
sorpresa	0.40	0.95	0.85	0.65	0.55	0.40	0.40	0.65
calma	0.30	0.20	0.05	0.50	0.55	0.30	0.50	0.85
ansia	0.40	0.65	0.85	0.65	0.30	0.65	0.30	0.10
vergogna	0.20	0.65	0.65	0.45	0.65	0.55	0.55	0.10
orgoglio	0.85	0.40	0.65	0.50	0.85	0.55	0.65	0.75
speranza	0.55	0.40	0.55	0.85	0.30	0.55	0.30	0.95
nostalgia	0.30	0.45	0.55	0.10	0.40	0.65	0.40	0.55
felicità	0.65	0.85	0.85	0.55	0.30	0.40	0.55	0.95
tristezza	0.30	0.65	0.55	0.40	0.30	0.55	0.50	0.10
passato	0.30	0.10	0.30	0.05	0.85	0.55	0.85	0.50
futuro	0.65	0.95	0.55	0.95	0.40	0.65	0.30	0.65
presente	0.55	0.55	0.55	0.50	0.85	0.55	0.85	0.65
ora	0.65	0.85	0.65	0.55	0.85	0.20	0.85	0.65
mai	0.10	0.10	0.10	0.50	0.95	0.20	0.95	0.20
sempre	0.55	0.10	0.40	0.50	0.10	0.30	0.85	0.65
prima	0.45	0.55	0.40	0.20	0.85	0.30	0.85	0.55
dopo	0.45	0.55	0.40	0.85	0.85	0.30	0.85	0.55
bene	0.55	0.30	0.50	0.50	0.55	0.55	0.55	0.95
male	0.55	0.40	0.65	0.50	0.55	0.55	0.55	0.05
vero	0.30	0.10	0.50	0.50	0.85	0.30	0.95	0.85
falso	0.30	0.40	0.50	0.50	0.40	0.55	0.20	0.10
possibile	0.45	0.85	0.50	0.65	0.30	0.55	0.30	0.65
libero	0.85	0.85	0.50	0.65	0.20	0.55	0.50	0.95
