# Archi curati manualmente da apply_curation_1..34.py (parole A-G)
# soggetto	relazione	oggetto	confidenza
abate	IS_A	persona	0.95
abate	PART_OF	clero	0.90
abate	SIMILAR_TO	priore	0.80
abbacchiare	CAUSES	abbattimento	0.90
abbacchiare	CAUSES	tristezza	0.85
abbacchiare	IS_A	azione	0.95
abbagliamento	CAUSES	cecita	0.80
abbagliamento	CAUSES	fastidio	0.85
abbagliamento	IS_A	fenomeno	0.95
abbagliante	IS_A	qualita	0.95
abbagliante	OPPOSITE_OF	oscuro	0.90
abbagliante	SIMILAR_TO	accecante	0.85
abbagliare	CAUSES	disorientamento	0.85
abbagliare	CAUSES	meraviglia	0.75
abbagliare	IS_A	azione	0.95
abbagliare	OPPOSITE_OF	oscurare	0.80
abbaiare	CAUSES	attenzione	0.85
abbaiare	CAUSES	preoccupazione	0.75
abbaiare	CAUSES	rumore	0.95
abbaiare	CAUSES	spavento	0.80
abbaiare	IS_A	azione	0.95
abbaiare	IS_A	suono	0.90
abbaiare	IS_A	verso	0.95
abbaiare	OPPOSITE_OF	silenzio	0.90
abbaiare	SIMILAR_TO	latrare	0.90
abbaiare	SIMILAR_TO	ululare	0.60
abbandonare	CAUSES	sofferenza	0.90
abbandonare	CAUSES	solitudine	0.95
abbandonare	CAUSES	vulnerabilita	0.85
abbandonare	CAUSES	vuoto	0.90
abbandonare	IS_A	azione	0.95
abbandonare	IS_A	separazione	0.90
abbandonare	OPPOSITE_OF	accudire	0.95
abbandonare	OPPOSITE_OF	mantenere	0.85
abbandonare	OPPOSITE_OF	proteggere	0.90
abbandonare	SIMILAR_TO	disertare	0.80
abbandonare	SIMILAR_TO	lasciare	0.90
abbassare	CAUSES	calo	0.90
abbassare	CAUSES	diminuzione	0.95
abbassare	CAUSES	riduzione	0.95
abbassare	CAUSES	umiliazione	0.80
abbassare	IS_A	azione	0.95
abbassare	IS_A	movimento	0.90
abbassare	OPPOSITE_OF	alzare	1.00
abbassare	OPPOSITE_OF	elevare	0.95
abbassare	OPPOSITE_OF	innalzare	0.95
abbassare	SIMILAR_TO	calare	0.90
abbassare	SIMILAR_TO	ridurre	0.85
abbassare	SIMILAR_TO	sminuire	0.80
abbastanza	IS_A	quantità	0.95
abbastanza	OPPOSITE_OF	insufficiente	0.95
abbastanza	OPPOSITE_OF	poco	0.90
abbastanza	OPPOSITE_OF	troppo	0.90
abbastanza	SIMILAR_TO	adeguato	0.90
abbastanza	SIMILAR_TO	sufficiente	0.95
abbattere	CAUSES	caduta	0.95
abbattere	CAUSES	morte	0.85
abbattere	CAUSES	rovina	0.90
abbattere	CAUSES	sconforto	0.80
abbattere	IS_A	azione	0.95
abbattere	IS_A	distruzione	0.90
abbattere	OPPOSITE_OF	costruire	0.95
abbattere	OPPOSITE_OF	edificare	0.90
abbattere	OPPOSITE_OF	erigere	0.90
abbattere	OPPOSITE_OF	risollevare	0.85
abbattere	SIMILAR_TO	demolire	0.95
abbattere	SIMILAR_TO	deprimere	0.80
abbattere	SIMILAR_TO	distruggere	0.90
abbazia	HAS	abate	0.95
abbazia	HAS	monaco	0.95
abbazia	IS_A	comunità	0.90
abbazia	IS_A	edificio	0.95
abbazia	IS_A	luogo	0.95
abbazia	SIMILAR_TO	convento	0.90
abbazia	SIMILAR_TO	monastero	0.95
abbellire	CAUSES	armonia	0.85
abbellire	CAUSES	bellezza	0.95
abbellire	CAUSES	grazia	0.90
abbellire	CAUSES	piacere	0.85
abbellire	IS_A	azione	0.95
abbellire	IS_A	miglioramento	0.90
abbellire	OPPOSITE_OF	deformare	0.85
abbellire	OPPOSITE_OF	imbruttire	1.00
abbellire	OPPOSITE_OF	rovinare	0.90
abbellire	SIMILAR_TO	decorare	0.90
