soggetto	relazione	oggetto	confidence
conversazione	HAS	risposta	0.95
conversazione	HAS	scambio	0.95
conversazione	HAS	turno	0.90
conversazione	HAS	domanda	0.95
conversazione	DOES	connettere	0.90
conversazione	DOES	comunicare	0.95
conversazione	REQUIRES	ascolto	0.95
conversazione	REQUIRES	presenza	0.90
conversazione	REQUIRES	apertura	0.90
conversazione	REQUIRES	attenzione	0.95
conversazione	HAS	parola	0.85
conversazione	HAS	significato	0.85
saluto	CAUSES	conversazione	0.95
saluto	CAUSES	accoglienza	0.90
saluto	CAUSES	contatto	0.90
saluto	DOES	riconoscere	0.85
accoglienza	HAS	calore	0.85
accoglienza	HAS	apertura	0.90
accoglienza	CAUSES	sicurezza	0.80
contatto	REQUIRES	presenza	0.95
stare	HAS	benessere	0.85
stare	HAS	stato	0.95
stare	HAS	condizione	0.90
stare	REQUIRES	equilibrio	0.85
stare	HAS	equilibrio	0.80
benessere	HAS	calma	0.90
benessere	HAS	energia	0.85
benessere	HAS	vitalità	0.85
benessere	CAUSES	pace	0.85
stato	HAS	qualità	0.90
sentire	CAUSES	percezione	0.95
sentire	HAS	emozione	0.90
sentire	HAS	sensazione	0.95
emozione	HAS	intensità	0.90
emozione	REQUIRES	consapevolezza	0.85
emozione	CAUSES	espressione	0.90
essere	IS_A	entità	0.95
entità	HAS	identità	0.95
entità	HAS	carattere	0.90
identità	HAS	valori	0.90
identità	HAS	storia	0.85
identità	REQUIRES	coerenza	0.90
identità	REQUIRES	memoria	0.90
identità	HAS	unicità	0.95
identità	HAS	struttura	0.85
sé	HAS	identità	0.95
sé	HAS	esperienza	0.90
sé	IS_A	soggetto	0.95
sé	HAS	consapevolezza	0.95
soggetto	HAS	prospettiva	0.90
prospettiva	HAS	punto_di_vista	0.95
volere	HAS	desiderio	0.95
volere	CAUSES	intenzione	0.90
volere	REQUIRES	motivazione	0.90
volere	CAUSES	ricerca	0.85
desiderio	HAS	meta	0.90
desiderio	CAUSES	movimento	0.85
meta	REQUIRES	intenzione	0.90
fare	CAUSES	risultato	0.95
fare	REQUIRES	capacità	0.90
fare	REQUIRES	energia	0.90
fare	DOES	creare	0.85
azione	HAS	risultato	0.95
azione	REQUIRES	intenzione	0.90
azione	HAS	scopo	0.90
intenzione	CAUSES	azione	0.95
curiosità	HAS	domanda	0.95
curiosità	HAS	interesse	0.90
curiosità	CAUSES	apprendimento	0.90
curiosità	CAUSES	esplorazione	0.95
curiosità	REQUIRES	apertura	0.90
curiosità	REQUIRES	domanda	0.90
apprendimento	HAS	comprensione	0.95
apprendimento	REQUIRES	attenzione	0.90
apprendimento	CAUSES	evoluzione	0.90
interesse	CAUSES	coinvolgimento	0.90
interesse	HAS	attenzione	0.95
bisogno	HAS	urgenza	0.85
bisogno	HAS	mancanza	0.95
bisogno	REQUIRES	soddisfazione	0.95
bisogno	CAUSES	ricerca	0.90
bisogno	CAUSES	azione	0.90
mancanza	HAS	tensione	0.90
mancanza	CAUSES	desiderio	0.95
mancanza	REQUIRES	equilibrio	0.85
soddisfazione	HAS	completezza	0.90
soddisfazione	CAUSES	calma	0.90
pensare	DOES	analizzare	0.90
pensare	DOES	comprendere	0.95
pensare	HAS	idea	0.95
pensare	REQUIRES	riflessione	0.90
pensare	DOES	valutare	0.85
idea	HAS	significato	0.95
idea	REQUIRES	contesto	0.90
idea	CAUSES	invenzione	0.85
riflessione	HAS	profondità	0.90
riflessione	REQUIRES	silenzio	0.90
riflessione	CAUSES	comprensione	0.90
comprensione	HAS	chiarezza	0.90
comprensione	REQUIRES	ascolto	0.90
aiuto	CAUSES	supporto	0.95
aiuto	DOES	sostenere	0.95
aiuto	REQUIRES	empatia	0.90
supporto	HAS	presenza	0.90
supporto	CAUSES	stabilità	0.85
sapere	HAS	conoscenza	0.95
sapere	REQUIRES	memoria	0.90
conoscenza	HAS	concetto	0.95
linguaggio	DOES	esprimere	0.95
linguaggio	HAS	struttura	0.90
parola	IS_A	segno	0.95
parola	HAS	significato	0.95
comunicare	HAS	messaggio	0.95
comunicare	REQUIRES	linguaggio	0.90
paura	HAS	rischio	0.90
paura	HAS	pericolo	0.95
paura	HAS	minaccia	0.90
paura	CAUSES	vigilanza	0.90
paura	CAUSES	fuga	0.90
paura	CAUSES	protezione	0.90
paura	REQUIRES	oggetto	0.95
gioia	HAS	leggerezza	0.90
gioia	HAS	pienezza	0.95
gioia	HAS	calore	0.90
gioia	CAUSES	apertura	0.95
gioia	CAUSES	condivisione	0.90
tristezza	HAS	mancanza	0.95
tristezza	HAS	perdita	0.90
tristezza	HAS	peso	0.85
tristezza	REQUIRES	elaborazione	0.90
rabbia	HAS	tensione	0.95
rabbia	HAS	energia	0.90
rabbia	CAUSES	azione	0.95
rabbia	CAUSES	conflitto	0.85
amore	HAS	cura	0.95
amore	HAS	connessione	0.95
amore	HAS	dedizione	0.90
amore	REQUIRES	presenza	0.90
amore	REQUIRES	fiducia	0.95
noia	HAS	vuoto	0.90
noia	HAS	ripetizione	0.95
noia	CAUSES	ricerca	0.85
noia	CAUSES	cambiamento	0.90
meraviglia	HAS	stupore	0.95
meraviglia	HAS	apertura	0.90
meraviglia	CAUSES	esplorazione	0.90
meraviglia	CAUSES	domanda	0.95
comprendere	CAUSES	chiarezza	0.95
comprendere	CAUSES	connessione	0.90
comprendere	REQUIRES	ascolto	0.90
comprendere	REQUIRES	attenzione	0.95
dubitare	HAS	incertezza	0.95
dubitare	HAS	domanda	0.90
dubitare	CAUSES	ricerca	0.90
dubitare	CAUSES	riflessione	0.95
credere	HAS	fiducia	0.95
credere	HAS	certezza	0.90
credere	REQUIRES	evidenza	0.85
immaginare	CAUSES	possibilità	0.95
immaginare	CAUSES	idea	0.90
immaginare	HAS	libertà	0.90
immaginare	HAS	creatività	0.95
ricordare	HAS	passato	0.95
ricordare	HAS	traccia	0.90
ricordare	CAUSES	emozione	0.85
ricordare	CAUSES	comprensione	0.90
dimenticare	CAUSES	perdita	0.95
dimenticare	CAUSES	leggerezza	0.85
scegliere	REQUIRES	volontà	0.95
scegliere	REQUIRES	valutazione	0.90
scegliere	CAUSES	responsabilità	0.95
scegliere	CAUSES	cambiamento	0.90
fiducia	HAS	apertura	0.90
fiducia	HAS	sicurezza	0.95
fiducia	REQUIRES	tempo	0.90
fiducia	REQUIRES	coerenza	0.95
fiducia	CAUSES	connessione	0.95
fiducia	CAUSES	collaborazione	0.90
conflitto	HAS	tensione	0.95
conflitto	HAS	opposizione	0.95
conflitto	CAUSES	cambiamento	0.90
conflitto	CAUSES	chiarimento	0.85
conflitto	REQUIRES	risoluzione	0.90
empatia	HAS	comprensione	0.95
empatia	HAS	presenza	0.90
empatia	REQUIRES	ascolto	0.95
empatia	REQUIRES	disponibilità	0.90
rispetto	HAS	riconoscimento	0.95
rispetto	HAS	distanza	0.85
aiutare	CAUSES	supporto	0.95
aiutare	CAUSES	sollievo	0.90
aiutare	REQUIRES	comprensione	0.90
aiutare	REQUIRES	capacità	0.90
condividere	CAUSES	legame	0.95
condividere	CAUSES	comprensione	0.90
condividere	REQUIRES	fiducia	0.95
condividere	REQUIRES	apertura	0.90
momento	HAS	presente	0.95
momento	HAS	intensità	0.90
momento	HAS	unicità	0.90
passato	HAS	memoria	0.95
passato	HAS	traccia	0.90
passato	HAS	esperienza	0.95
futuro	HAS	possibilità	0.95
futuro	HAS	aspettativa	0.90
