# KG dominio esistenziale — generato da Qwen via agent_kg_self.py
# soggetto	RELAZIONE	oggetto	confidenza
coscienza	HAS	lucidità	0.95
coscienza	CAUSES	risveglio	0.90
coscienza	PART_OF	soggettività	0.92
coscienza	OPPOSITE_OF	incoscienza	0.97
coscienza	HAS	consapevolezza	0.94
coscienza	CAUSES	introspezione	0.90
consapevolezza	HAS	lucidità	0.93
consapevolezza	OPPOSITE_OF	incoscienza	0.99
percezione	CAUSES	interpretazione	0.95
percezione	OPPOSITE_OF	ignoranza	0.90
sentire	IS_A	percezione	0.99
sentire	CAUSES	consapevolezza	0.92
sentire	OPPOSITE_OF	ignorare	0.90
sentire	IS_A	esperienza	0.90
notare	CAUSES	consapevolezza	0.94
notare	HAS	oggettivazione	0.88
notare	OPPOSITE_OF	ignorare	0.90
osservare	CAUSES	consapevolezza	0.92
osservare	CAUSES	assenso	0.88
osservare	PART_OF	percezione	0.96
osservare	HAS	oggettivazione	0.85
osservare	OPPOSITE_OF	ignorare	0.94
vigilanza	CAUSES	consapevolezza	0.88
vigilanza	PART_OF	percezione	0.90
vigilanza	OPPOSITE_OF	assopimento	0.80
lucidità	IS_A	consapevolezza	0.99
lucidità	CAUSES	risveglio	0.95
lucidità	HAS	chiaroveggenza	0.94
lucidità	OPPOSITE_OF	illusione	0.91
riflessione	CAUSES	consapevolezza	0.95
riflessione	HAS	profondità	0.92
riflessione	HAS	lentezza	0.85
contemplazione	HAS	profondità	0.88
identità	CAUSES	autocoscienza	0.94
identità	PART_OF	soggettività	0.95
identità	OPPOSITE_OF	alienazione	0.87
sé	IS_A	identità	0.99
sé	CAUSES	consapevolezza	0.94
sé	CAUSES	narazione	0.88
sé	PART_OF	esistenza	0.97
sé	HAS	coerenza	0.85
sé	HAS	fragilità	0.82
sé	OPPOSITE_OF	alterità	0.89
sé	IS_A	concetto	0.89
sé	IS_A	esperienza	0.89
io	IS_A	soggetto	0.99
io	HAS	consapevolezza	0.98
io	HAS	autonomia	0.92
io	CAUSES	percezione	0.90
persona	CAUSES	alienazione	0.88
persona	CAUSES	autenticità	0.85
persona	OPPOSITE_OF	oggetto	0.82
individuo	IS_A	essere	0.99
individuo	IS_A	soggetto	0.97
individuo	PART_OF	esistenza	0.95
individuo	HAS	consapevolezza	0.93
individuo	HAS	unicità	0.91
individuo	CAUSES	autonomia	0.88
individuo	OPPOSITE_OF	collettività	0.85
soggetto	IS_A	consapevole	0.99
soggetto	CAUSES	percezione	0.95
soggetto	CAUSES	decisione	0.92
soggetto	HAS	autonomia	0.90
soggetto	HAS	intenzionalità	0.88
soggetto	OPPOSITE_OF	oggetto	0.96
carattere	CAUSES	consuetudini	0.91
carattere	CAUSES	educazione	0.89
carattere	OPPOSITE_OF	opportunismo	0.79
natura	IS_A	essenza	0.99
natura	HAS	autenticità	0.95
natura	CAUSES	consapevolezza	0.92
natura	PART_OF	esistenza	0.98
natura	HAS	quiete	0.88
natura	OPPOSITE_OF	artificio	0.90
natura	CAUSES	armonia	0.85
essenza	CAUSES	autenticità	0.94
essenza	CAUSES	consapevolezza	0.91
essenza	PART_OF	essere	0.98
essenza	HAS	profondità	0.89
essenza	OPPOSITE_OF	superficie	0.87
unicità	IS_A	irripetibilità	0.95
unicità	HAS	irriducibilità	0.90
unicità	CAUSES	istantaneità	0.85
unicità	OPPOSITE_OF	mediocrità	0.82
originalità	PART_OF	autenticità	0.93
originalità	OPPOSITE_OF	imitazione	0.92
continuità	HAS	permeabilità	0.85
continuità	OPPOSITE_OF	frammentazione	0.89
coerenza	CAUSES	autenticità	0.95
coerenza	OPPOSITE_OF	contraddizione	0.84
integrità	CAUSES	autenticità	0.94
integrità	HAS	trasparenza	0.89
integrità	HAS	fermezza	0.87
integrità	OPPOSITE_OF	ipocrisia	0.95
autenticità	OPPOSITE_OF	alienazione	0.94
sentimento	OPPOSITE_OF	indifferenza	0.91
affetto	IS_A	legame	0.92
affetto	CAUSES	legami	0.88
